State,Action,Value
0,0,0
0,1,0
0,2,0
0,3,0
1,0,0
1,1,0
1,2,0
1,3,0
2,0,0
2,1,0
2,2,0
2,3,0
3,0,0.4999299
3,1,0.499994
3,2,0.4998706
3,3,0.4999917
4,0,0
4,1,0
4,2,0
4,3,0
5,0,0.4999339
5,1,0.4548492
5,2,0.4869083
5,3,0.4724458
6,0,0.0447242
6,1,0
6,2,0.4159625
6,3,0.1961174
7,0,0.4999994
7,1,0.4999993
7,2,0.4999992
7,3,0.4999994
8,0,0
8,1,0
8,2,0
8,3,0
9,0,0.4976231
9,1,0.3891253
9,2,0.4070078
9,3,0.4159617
10,0,0.4999942
10,1,0.4999979
10,2,0.4999964
10,3,0.4997751
11,0,0.4999937
11,1,0.4999924
11,2,0.4999866
11,3,0.4999909
12,0,0.4996561
12,1,0.4998449
12,2,0.496523
12,3,0.4999987
13,0,0.4999978
13,1,0.4999985
13,2,0.4999236
13,3,0.4999994
14,0,0.4999938
14,1,0.4999935
14,2,0.4999963
14,3,0.4990794
15,0,0.4999977
15,1,0.4999952
15,2,0.4999969
15,3,0.4999992
16,0,0
16,1,0
16,2,0
16,3,0
17,0,0
17,1,0
17,2,0
17,3,0
18,0,0
18,1,0
18,2,0
18,3,0
19,0,0
19,1,0
19,2,0
19,3,0
20,0,0
20,1,0
20,2,0
20,3,0
21,0,0.3336015
21,1,0.1480958
21,2,0.4929475
21,3,0.4337695
22,0,0.05549914
22,1,0.3799449
22,2,0
22,3,0.07618414
23,0,0.4998862
23,1,0.4999878
23,2,0.4999989
23,3,0.4999993
24,0,0
24,1,0
24,2,0
24,3,0
25,0,0.3284833
25,1,0.1226873
25,2,0.08384363
25,3,0.1483389
26,0,0.0578865
26,1,0.2611865
26,2,0
26,3,0
27,0,0.4999986
27,1,0.4996727
27,2,0.4999978
27,3,0.4645661
28,0,0.02955
28,1,0.0229785
28,2,0.1499994
28,3,0.1499993
29,0,0.499964
29,1,0.4999941
29,2,0.4999977
29,3,0.4243669
30,0,0.4948115
30,1,0.3912376
30,2,0.4999979
30,3,0.406433
31,0,0.4999905
31,1,0.499997
31,2,0.4999986
31,3,0.4740532
32,0,0
32,1,0
32,2,0
32,3,0
33,0,0
33,1,0
33,2,0
33,3,0
34,0,0
34,1,0
34,2,0
34,3,0
35,0,0.4999994
35,1,0.4999994
35,2,0.4999993
35,3,0.4999994
36,0,0
36,1,0
36,2,0
36,3,0
37,0,0.4999966
37,1,0.4999748
37,2,0.499989
37,3,0.4999797
38,0,0.1036935
38,1,0.1499975
38,2,0.4588198
38,3,0.2856144
39,0,0.4984693
39,1,0.4999994
39,2,0.4999994
39,3,0.4999994
40,0,0
40,1,0
40,2,0
40,3,0
41,0,0.4999992
41,1,0.4999978
41,2,0.4999973
41,3,0.4999965
42,0,0.4999971
42,1,0.4999976
42,2,0.4999977
42,3,0.499998
43,0,0.4999994
43,1,0.4999994
43,2,0.4999994
43,3,0.4999961
44,0,0.4999017
44,1,0.4998149
44,2,0.4999981
44,3,0.4986613
45,0,0.4999989
45,1,0.4999994
45,2,0.4999993
45,3,0.4999994
46,0,0.4999984
46,1,0.4999987
46,2,0.4999994
46,3,0.4999235
47,0,0.4999994
47,1,0.4999994
47,2,0.4999994
47,3,0.4999994
48,0,0
48,1,0
48,2,0
48,3,0
49,0,0
49,1,0
49,2,0
49,3,0
50,0,0
50,1,0
50,2,0
50,3,0
51,0,0.3058018
51,1,0
51,2,0
51,3,0.015
52,0,0
52,1,0
52,2,0
52,3,0
53,0,0
53,1,0
53,2,0.05549318
53,3,0.015
54,0,0.1170291
54,1,0.3799468
54,2,0.1499891
54,3,0.1912953
55,0,0.4674488
55,1,0.4999947
55,2,0.4931464
55,3,0.4999922
56,0,0
56,1,0
56,2,0
56,3,0
57,0,0.2545503
57,1,0
57,2,0.1045349
57,3,0.3284996
58,0,0.1280839
58,1,0.4159559
58,2,0.2475125
58,3,0.1499991
59,0,0.3794765
59,1,0.2549988
59,2,0.2379258
59,3,0.4999716
60,0,0.1036938
60,1,0.0436635
60,2,0.0880207
60,3,0.4798218
61,0,0.4981118
61,1,0.499999
61,2,0.3816307
61,3,0.4999993
62,0,0.4996091
62,1,0.4999805
62,2,0.4992138
62,3,0.4999992
63,0,0.4999903
63,1,0.4993036
63,2,0.4867598
63,3,0.4999994
64,0,0
64,1,0
64,2,0
64,3,0
65,0,0
65,1,0
65,2,0
65,3,0
66,0,0
66,1,0
66,2,0
66,3,0
67,0,0
67,1,0
67,2,0
67,3,0
68,0,0
68,1,0
68,2,0
68,3,0
69,0,0
69,1,0
69,2,0
69,3,0
70,0,0
70,1,0
70,2,0
70,3,0
71,0,0
71,1,0
71,2,0
71,3,0
72,0,0
72,1,0
72,2,0
72,3,0
73,0,0
73,1,0
73,2,0
73,3,0
74,0,0
74,1,0
74,2,0
74,3,0
75,0,0
75,1,0
75,2,0
75,3,0
76,0,0
76,1,0
76,2,0
76,3,0
77,0,0
77,1,0
77,2,0
77,3,0
78,0,0
78,1,0
78,2,0
78,3,0
79,0,0
79,1,0
79,2,0
79,3,0
80,0,0
80,1,0
80,2,0
80,3,0
81,0,0
81,1,0
81,2,0
81,3,0
82,0,0
82,1,0
82,2,0
82,3,0
83,0,0.4999964
83,1,0.4999942
83,2,0.4985828
83,3,0.4998874
84,0,0
84,1,0
84,2,0
84,3,0
85,0,0
85,1,0
85,2,0
85,3,0
86,0,0
86,1,0
86,2,0
86,3,0
87,0,0.499997
87,1,0.4999982
87,2,0.499998
87,3,0.4999977
88,0,0
88,1,0
88,2,0
88,3,0
89,0,0.4898412
89,1,0.2656995
89,2,0.3499567
89,3,0.3284996
90,0,0.4905709
90,1,0.4999607
90,2,0.4980463
90,3,0.460352
91,0,0.2706013
91,1,0.4999993
91,2,0.4999994
91,3,0.4999994
92,0,0.4467048
92,1,0.4376975
92,2,0.4966083
92,3,0.3799496
93,0,0.4936337
93,1,0.4999993
93,2,0.4976311
93,3,0.4999994
94,0,0.4981242
94,1,0.4999934
94,2,0.4855199
94,3,0.4878821
95,0,0.1849518
95,1,0.4999991
95,2,0.4999994
95,3,0.4999993
96,0,0
96,1,0
96,2,0
96,3,0
97,0,0
97,1,0
97,2,0
97,3,0
98,0,0
98,1,0
98,2,0
98,3,0
99,0,0.4999985
99,1,0.4999973
99,2,0.4999964
99,3,0.4999958
100,0,0
100,1,0
100,2,0
100,3,0
101,0,0.4860637
101,1,0.470922
101,2,0.4275568
101,3,0.423325
102,0,0.4999994
102,1,0.4999993
102,2,0.4999994
102,3,0.4999994
103,0,0.4999994
103,1,0.4999994
103,2,0.4999994
103,3,0.4999994
104,0,0
104,1,0
104,2,0
104,3,0
105,0,0.4999894
105,1,0.499906
105,2,0.4987943
105,3,0.4999988
106,0,0.4999576
106,1,0.4999756
106,2,0.4999518
106,3,0.4999879
107,0,0.4999986
107,1,0.4999973
107,2,0.4999977
107,3,0.4999977
108,0,0.4999924
108,1,0.4998706
108,2,0.4999993
108,3,0.4999992
109,0,0.4999993
109,1,0.4999993
109,2,0.4999994
109,3,0.4999994
110,0,0.4999994
110,1,0.4999993
110,2,0.4999981
110,3,0.4999994
111,0,0.4999992
111,1,0.4999994
111,2,0.4999994
111,3,0.4999994
112,0,0
112,1,0
112,2,0
112,3,0
113,0,0
113,1,0
113,2,0
113,3,0
114,0,0
114,1,0
114,2,0
114,3,0
115,0,0.4994294
115,1,0.4839236
